"","sign","feat1","feat2","feat3","feat4","feat5","feat6","feat7","feat8","feat9","feat10","feat11","feat12","feat13","feat14","feat15","feat16","feat17","feat18","feat19","feat20","feat21","feat22","feat23","feat24","feat25","feat26","feat27","feat28","feat29","feat30","feat31","feat32","feat33","feat34","feat35","feat36","feat37","feat38","feat39","feat40","feat41","feat42","feat43","feat44","feat45","feat46","feat47","feat48","feat49","feat50","feat51","feat52","feat53","feat54","feat55","feat56","feat57","feat58","feat59"
"1","a",-24.0749319325323,47.0699085235596,-40.6869651628577,-13.0676974752675,14.9588663308517,-48.6822326328443,-8.05346716175909,-13.5457523148993,-40.5799068285071,-8.59055656764819,-31.9111235079558,-24.8209460465804,6.2072417549465,-18.220487569726,-21.8582541258439,-27.251860676641,-32.7050975343455,-15.3270878864371,-40.7646923231042,-20.5987261741058,-11.0157444712908,-44.519519308339,-8.64058803397676,-5.58594797383184,10.4176481827446,-19.2536184808482,-7.56094769550407,-28.002622886326,-34.0141115893488,-5.30230074369389,-44.5222688923711,-18.5007523059845,-3.3879984912665,-49.0683320252792,-4.73069247370181,14.3462816964025,10.9595871966818,-15.4954490288444,10.6088444854902,-24.2585560010827,-29.6234992732172,9.14124044050341,-40.392553180197,-14.4468669772148,8.73373880075372,-45.0420821977698,-0.642790289547132,32.5534456253052,7.20452502706777,-11.4436631389286,26.3260571728582,-19.229191058615,-24.5504361359969,21.0506937026977,-30.5152350715969,-14.8189992935761,17.3708035386127,-35.1043835515561,-2.53677851894627
"2","b",0.665669872986143,2.81374008026882,2.07718413564103,-2.54045317540714,-37.0337633754484,3.02429003264773,-6.29489989778889,-61.4939527048993,4.66334574495382,-9.18356338425062,-78.0999545007203,3.38333448485948,-3.30042741310537,8.5308145432923,0.210487334882441,-5.37295008417386,-31.6936606233986,-1.09320600264108,-8.62697688619889,-56.4008243771928,-0.942749533487196,-10.8484068533674,-73.2119665821986,4.08385980307166,7.41137509322285,-6.3702231022849,3.55695897073888,2.66352931539811,-45.363630025541,3.48290172323066,-1.97208818274351,-68.1151117602391,4.03321228928827,-5.61072528896047,-83.5380001495134,-3.07046205606034,8.1805531516004,-12.2968437636077,-3.43981641679261,1.0573110058533,-52.1138683812535,-3.09380519034258,-4.74022076734856,-75.6436945217759,-2.53125627479743,-9.17653099933074,-91.1925130530969,-14.9355859353175,-4.85991949584354,-7.97963833571666,-15.5093812242669,-4.73162020023783,-40.5524586966975,-15.1428301607198,-5.70735671389756,-58.7260249028752,-14.4240263113335,-7.25910615683788,-73.7024506715993
"3","c",-6.96074447631836,53.8227318382263,-24.8811454772949,-1.28276287078857,35.9041147518158,-53.4761587333679,4.6438245010376,24.6141418290138,-71.6820823287964,12.8593715667725,19.3675380647183,-5.77910997390747,4.84155464172363,-19.2582537841797,-32.9947283363342,11.0350210952759,-48.8351766300202,-56.5827721405029,6.75854370117187,-49.2780460929871,-68.4660529518127,0.98698028564453,-40.105096244812,-12.298514983058,20.5044484329224,-10.4517386353016,-36.5265825748444,29.4635612106323,-41.7364619922638,-58.4482678604126,26.1367673873901,-46.0287217617035,-71.1089967918396,20.2086248779297,-40.2863553619385,-6.72026041179895,7.97064674377441,-18.9747588944435,-33.9032601261139,16.2053828048706,-51.3856161975861,-58.713123626709,12.9244137191772,-53.8389860630035,-71.8441770172119,7.35850959777832,-45.8850024604797,2.60809403121471,-22.9992449188232,-26.21722407341,-19.0601123428345,-22.7797290802002,-51.1424182891846,-37.1573625659943,-24.7311363983154,-50.5198429393768,-48.8846920204163,-27.1418212890625,-40.5149576759338
"4","d",3.61436189015706,-7.69709915518761,-19.300021092097,9.84169750213623,-45.4346786697706,-22.594394671917,7.96282494862874,-66.5500155131022,-24.6817555904388,4.31617043813069,-79.7611825346947,1.56842212279638,-2.36419366200765,25.3446722825368,-11.1552980375787,-21.4686371167501,-3.40843096176783,-9.45735088586807,-35.2106718063354,-19.5416337947051,-4.09311806360881,-44.6456420898438,-27.6381104787191,-8.82375090221564,3.97805639902751,-6.70921235481898,-14.7899146447579,-26.7380884170532,-28.0784640014172,-12.4125678509474,-45.5634798049927,-26.7951152573029,-8.15487003425757,-54.8734691619873,-21.1186879992485,3.12408230404059,1.50224103927613,-17.1821097989877,-0.654415017366409,-28.8177536328634,-36.2884072244167,-0.293815894921618,-47.6771141688029,-30.5918282369773,0.614832803358632,-57.134978167216,-21.1285551975171,17.3529023528099,-3.8525855700175,-12.1574333071709,13.4570510665576,-28.0905378659566,-29.1596011459827,12.0295253823201,-41.9832133611043,-25.8549888600906,11.1492141048113,-50.2915015220642,-17.7335358520349
"5","e",-15.2836500440325,52.3282621247428,-25.761216204507,-27.9458224705287,9.99347208057131,-24.2381542784827,-38.2842370986939,-18.0050149168287,-17.8691587812134,-47.3335754939488,-35.7100552116122,-24.306092112405,11.0790706634521,-18.5915166480201,-33.2650893415723,-20.62367074149,-39.7768315996443,-32.2340804644993,-37.3308674403599,-25.9314202274595,-29.3836904730116,-40.3976947511945,-11.5353990865605,-4.19183002625193,9.76586439950126,-21.0258737836565,-18.9094923734665,-24.6857036590576,-44.0542913913727,-22.3491084916251,-43.3988766806466,-27.0716080222811,-20.9954342092787,-46.5050513131278,-10.9697459623218,15.978055368151,5.13950080871582,-18.057316493988,3.38067624654089,-23.7830027988979,-43.6630128996713,-5.454870815788,-45.4251382282802,-36.7049075399126,-9.33161884077958,-55.0515803473336,-25.4252483146531,33.2807571274894,-3.2702025277274,-14.1531336545944,21.1874005913734,-23.4148391178676,-36.0624058791569,12.5369485429355,-37.8246174676078,-32.4036561761584,7.06111538367612,-46.5545465741839,-22.8096735715866
"6","f",2.53655319213867,-14.8863215327263,-16.3711394309998,4.8537218729655,-57.5411366979281,-20.608919424812,3.21408398946126,-83.1276818950971,-22.0001490945617,0.846096038818361,-99.7624523162842,8.17132434050242,4.95133221944173,-15.5683901429176,1.97652377138535,11.3979785283407,-53.9510606328646,-0.947780991345643,13.3040946960449,-77.0457550287247,-1.82579500724872,14.0620690027873,-92.243371240298,16.3638599716127,0.99859733581543,-3.85475884675979,12.458345669508,4.129119459788,-36.4639465332031,12.2517134775718,4.1196047782898,-55.4847287019094,15.7662324130535,4.54364592234293,-69.6587396065394,-5.52460046261549,-3.64665222167969,29.3950168848038,-21.3595997154713,-20.5344355583191,-3.0522025346756,-25.4530051598946,-33.6611301740011,-22.6859356999397,-16.1990395168463,-40.3216548919678,-33.1082401156426,-9.26646920243899,1.42344067891439,-15.6933884461721,-12.182371165355,-16.6097913106283,-40.7985593875249,-9.22915713787079,-28.8682629903158,-44.0930999557177,-6.22494434391459,-34.8154284795125,-43.2755305190881
"7","g",-2.60869859967913,29.5444715687207,-18.3434031307697,7.95610594068255,12.7640903042895,-41.1313987289156,14.385898399353,5.20880763530731,-52.4772723853588,16.9060948780605,-0.416923743912152,-12.6316978118249,13.3286668504987,-10.232426229545,-40.382235624109,1.53649267469133,-12.4381207086678,-42.4035594088691,-5.36108292170933,-2.76452196730035,-39.4271298340389,-5.96156962258475,4.30864407462733,-10.444227796793,6.47493359701974,-14.5751947351864,-40.7273186104638,-5.12035146440779,-13.3049565766539,-38.7793470808438,-10.3601284844535,0.454884274649833,-31.8394291745765,-9.12369965144566,8.57284339666367,-2.92962864892823,-2.78959830147879,-11.3695277256625,-31.3583310808454,-12.8255246298654,-8.05718482307025,-29.3830452493259,-15.0039048058646,5.36877620347909,-22.6840499435152,-12.3681656156267,12.828532800717,2.77934211449964,-12.6183623177665,-6.0707076055663,-22.5144548288413,-17.5042460577829,-5.3204105096204,-22.4157076716423,-17.3737581253052,3.38206882561956,-15.8132601635797,-14.5867060252598,10.0371344306639
"8","h",-3.36892400469099,32.7469524477209,-10.3744622183698,-5.86658049992152,15.5167465720858,-38.0282094580787,-1.75025708334787,7.81753163678306,-53.154521719047,3.07157827104841,8.01932898866279,-16.6854738043887,8.5260725566319,-10.5851263689143,-45.532279253006,-0.908827672685894,-5.222695094347,-43.8783404248101,-6.14313169206892,5.5932753013713,-37.2663002678326,-8.57412368229457,10.9438989886216,-13.0624548281942,5.00671888078962,-15.3352983014924,-44.734971843447,-6.95638296944755,-5.92453569727285,-40.0011243513652,-12.0431660515921,8.90587189793587,-31.0128526508808,-13.3782001495361,15.5401630597455,-5.83671716451645,-0.810939243861605,-13.0671265865011,-34.4720120498112,-13.2046618052891,1.05393549672195,-25.6515905039651,-15.8507650375366,16.3363456981523,-14.4307881167957,-15.1305449485779,21.9500734899725,-0.432171338583742,-7.904674748012,-7.87977924602372,-24.5086587122508,-15.6478469031198,1.76174675737109,-19.3135387778282,-16.4799584524972,11.9411736028535,-9.37391157874039,-15.1882975714547,17.3868496741567
"9","i",-4.14747687119704,18.9998188593449,39.8532389163971,-1.93313843164688,-23.2066676946787,37.0776921846928,1.56839142823831,-51.786854885786,35.5630023571161,4.55813024961031,-71.6168365674141,-0.62139659157166,12.7060534844032,-15.3775990859056,7.16986063290865,-13.945850054423,-36.9696591854095,17.0014694947463,-21.9545937856038,-27.4834539113901,22.4369451718453,-21.4562147971911,-17.6527713054266,-16.05767401304,9.86280930347932,-14.3201040219038,-2.08743315965701,-20.9640870265472,-36.6558866134057,14.5555424806399,-29.4372047228691,-21.4102749185684,21.3772894125718,-28.1146037370731,-7.26166513791451,-21.8150110642115,-0.69634546133188,-4.14167859798823,-13.2000594487557,-27.7782721250485,-28.5023123765603,4.84095233235604,-36.2760716267121,-16.6929062944192,13.2515371345557,-35.0470414675199,-3.33677062445726,-24.1571734734071,-13.6480825375288,4.94684289296468,-18.8721471884694,-32.0134614357581,-17.7035266570556,-5.4885258662395,-37.5604950929299,-11.2667552147156,3.16617226386682,-36.6920718168601,0.283193838978425
"10","j",6.59864564623152,19.6377935984305,9.49923854555402,-17.5226619175502,19.4727554014751,-6.03896751510245,-31.8597858565194,19.5325869653906,-15.9372217953205,-41.4919035230364,19.0308981205736,-7.55511305310896,-12.1945380619594,-0.892866075890404,-12.9218875795603,-28.7567257199969,0.565661110622541,-3.09312662056514,-25.7870110103062,4.32036082148552,4.36598031393119,-21.2424842561994,5.74398840665817,-13.3801834783384,-6.91344697134836,-9.14004423320294,-16.9307313391141,-28.0528817585536,-2.22029811910221,-2.36337434606893,-22.6194175447737,6.56234642778124,7.64748821258545,-15.0172979899815,9.94301012924739,-12.1196911896978,0.942276273454937,-10.0239261182291,-16.9319237495107,-20.0268821988787,-4.20699517253254,-2.59427645036152,-15.390932055882,5.20638988188335,7.69883927447455,-7.80498730795724,9.2991919858115,-9.39917440371854,7.9822388785226,-8.75756519351687,-15.0340370731694,-11.1844824654715,-5.86301810060229,-6.04595324652536,-10.6908788953509,0.526206600666046,2.90132026331765,-5.75393799373082,4.53895862783704
